INC_Name,INC_ST_Unit,INC_Nbr,Acres,Cause,Start,End,LAT,LONG,Fuels1,Cost,Version,IC,IC_Type,Monitor,Confine,Point_Prot,Full_Suppression,Threatened,Damaged,Destroyed,T1-C,T2-C,T2IA-C,T1-H,T2-H,T3-H,T1-E,T2-E,T3-E,T4-E,T5-E,T6-E,DOZR,WTDR,Personnel,State,Unit,Unit_Nbr,Agency,Agency_Nbr,Zone,DispCtr,,
SH Creek,AZ-ASF,000531,3074,Lightning/Natural,"Jun 27, 2017 5:46:00 PM","Jul 27, 2017 6:57:58 PM",33.4675,-109.3422,Brush (2 feet),"1,100,000",,S. Johnson,3 (IMT),0,0,100,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,8,1,5,173,AZ,ASF,000531,USFS,7,WMZ,SDC,,
SWISSHELMS,AZ-A3S,005188,10950,Unknown,"Jun 27, 2017 7:08:00 PM","Jul 9, 2017 2:35:29 PM",31.6806,-109.5238,Tall Grass (2.5 feet),"3,104,533",,Cox,3 (IMT),0,0,0,100,8,0,0,1,4,2,3,2,1,0,0,1,1,0,5,2,4,231,AZ,A3S,005188,AZS,5,SEZ,TDC,,
Gentry,AZ-ASF,000536,641,Lightning/Natural,"Jun 28, 2017 3:15:00 PM","Aug 24, 2017 4:11:12 PM",34.3058,-110.7225,Brush (2 feet),"1,086,000",,,3,0,0,0,100,0,0,0,2,0,6,1,0,1,0,0,1,0,0,3,2,5,234,AZ,ASF,000536,USFS,7,WMZ,SDC,,
GREMLIN,AZ-A5S,005232,359,Unknown,"Jun 28, 2017 3:53:00 PM","Jul 1, 2017 5:23:30 PM",35.3667,-113.6753,Tall Grass (2.5 feet),"110,000",,,4,0,0,0,100,5,0,0,0,3,1,0,0,2,1,0,2,1,0,7,0,1,143,AZ,A5S,005232,AZS,5,CWZ,ADC,,
BURRO,AZ-CNF,000618,27238,Unknown,"Jun 30, 2017 12:23:00 PM","Jul 20, 2017 8:48:06 PM",32.3742,-110.6325,Tall Grass (2.5 feet),0,,Day,1 (IMT),0,0,0,100,800,0,0,4,1,5,3,2,1,1,0,27,1,2,13,3,31,631,AZ,CNF,000618,USFS,7,SEZ,TDC,,
SHEEP,AZ-GID,000650,4617,Unknown,"Jul 4, 2017 12:03:00 AM","Jul 13, 2017 4:16:24 PM",32.2139,-109.4839,Tall Grass (2.5 feet),"800,000",,Howell,3 (IMT),0,40,10,50,30,0,0,1,1,4,0,1,0,0,0,0,0,0,9,0,3,168,AZ,GID,000650,BLM,2,SEZ,TDC,,
ELK HORN,AZ-A3S,005355,650,Unknown,"Jul 4, 2017 4:07:00 AM","Jul 11, 2017 4:52:04 PM",31.8153,-111.5577,Brush (2 feet),"476,000",,,3,0,0,0,100,25,0,0,1,1,6,1,1,0,0,0,0,0,0,2,0,2,175,AZ,A3S,005355,AZS,5,SEZ,TDC,,
SIPHON,AZ-A3S,005359,270,Unknown,"Jul 4, 2017 3:53:00 PM","Jul 9, 2017 2:49:24 PM",32.1792,-109.5317,Tall Grass (2.5 feet),"411,722",,Cox,3 (IMT),0,0,0,100,150,0,0,1,1,2,0,0,0,0,0,1,0,0,4,0,2,101,AZ,A3S,005359,AZS,5,SEZ,TDC,,
LESNA PEAK,AZ-CNF,000662,622,Unknown,"Jul 6, 2017 3:51:00 PM","Jul 21, 2017 10:52:23 AM",31.5058,-111.4225,Tall Grass (2.5 feet),"1,000,000",,,5,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,CNF,000662,USFS,7,SEZ,TDC,,
Brooklyn,AZ-TNF,001051,33550,Lightning/Natural,"Jul 7, 2017 5:36:00 PM","Jul 27, 2017 6:51:13 PM",34.1483,-111.9633,Brush (2 feet),"1,255,775",,Pierson,1 (IMT),0,0,0,100,195,0,0,3,0,2,1,0,2,0,0,7,0,0,9,0,1,264,AZ,TNF,001051,USFS,7,CWZ,PHC,,
Bull,AZ-TNF,001052,5699,Lightning/Natural,"Jul 7, 2017 6:33:00 PM","Jul 27, 2017 7:02:55 PM",34.0249,-111.9733,Tall Grass (2.5 feet),"75,000",,Mandell,3 (IMT),0,0,0,100,,,,,,,,,,,,,,,,,,,AZ,TNF,001052,USFS,7,CWZ,PHC,,
